text,labels
"1. Восстановление аммиакопровода займет до 3 месяцев.
",1. Технологии
"2. Выделены дополнительные 39 млн рублей на соцучреждения Марий Эл.
",2. Финансы
"3. Россия уничтожена санкциями Байден. Аххаха httpst.mert_russian160646
",3. Общее
"4. Обыски в минобразования Дагестана по делу о выплатах.
",4. Политика
"5. Реконструкция пропускного пункта Верхний Ларс завершится к 15 июня Мишустин
",5. Общее
"6. В Марий Эл отдыхают более 23 тысяч детей
",6. Общее
"7. ВестиМагадан показывают, в каких условияхhttpst
",7. Общее
"8. 30 человек скончались изза отравления сидром, трое находятся в крайне тяжелом состоянии, всего пострадали 96 человек Минздрав РФ
",8. Общее
"9. Эрдоган провел телефонный разговор с Зеленским, обсудил идею создания международной комиссии по расследованию разрушения Каховской ГЭС
",9. Политика
"10. Возобновление переговорного процесса по Украине зависит от готовности к этому Киева, оно возможно только с учетом признания новых геополитических реалий МИД РФ
",10. Политика
"11. Секретарь Совбеза РФ Патрушев заявил, что подрыв плотины Каховской ГЭС осуществила Украина Патрушев заявил, что Киев сперва произвел масштабный сброс воды на ДнепроГЭС, а затем нанес удар по Каховской ГЭС
",11. Политика
"12. Киевский нацистский режим, созданный США и Британией, необходимо сменить, придав на практике Украине статус нейтрального государства Патрушев
",12. Политика
"13. Сторонники идеи золотого миллиарда в стремлении сократить население Земли, которое они никогда не скрывали, дошли до Украины
",13. Политика
"14. Россия начинает создание в Киргизии русскоязычных школ Мишустин
",14. Образовательный контент
"15. Это похоже на сформировавшуюся цель
",15. Общее
"16. МЧС РФ доставит в затопленные районы Херсонской области электростанции, мотопомпы и тепловые пушки ведомство
",16. Общее
"17. Эрдоган провел телефонные переговоры с Путиным, обсуждена ситуация на Украине, сообщила канцелярия турецкого президента
",17. Политика
"18. Москва дорожит братскими отношениями с Ереваном, которые носят стратегический и союзнический характер, заявил премьерминистр РФ Михаил Мишустин.
",18. Политика
"19. В России МНОГО хороших, душевных людей
",19. Общее
"20. Польша депортировала россиянина, который выдавал себя за экссотрудника контрразведки ФСБ
",20. Политика
"1. Отряд ЛизАлерт в Марий Эл опубликовал статистику за прошлый месяц всего поступило 22 заявки на поиск
",1. Общее
"2. 36 населенных пунктов в трех округах подверглись затоплению изза разрушения плотины Каховской ГЭС в Херсонской области Сальдо
",2. Общее
"3. Украина обратилась в Международный уголовный суд в Гааге в связи с разрушением Каховской ГЭС
",3. Политика
"4. В 30 регионах России отмечается тенденция к увеличению уровня ожирения среди граждан, особенно среди мужчин, сообщила главный внештатный специалист по терапии и общей врачебной практике Минздрава России Оксана Драпкина.
",4. Общее
"5. Путин в беседе с Эрдоганом констатировал, что Киев с подачи запада делает опасную ставку на эскалацию боевых действий Кремль
",5. Политика
"6. Путин в ходе разговора с Эрдоганом назвал разрушение Каховской ГЭС варварской акцией Киева, осуществлённой с подачи западных кураторов Кремль
",6. Политика
"7. Секретарь Совета национальной безопасности СНБО Украины Алексей Данилов заявил, что запланированное наступление еще не начиналось
",7. Политика
"8. Команда ученых из Политехнического института Вирджинии обнаружила способность крокодилов к так называемому однополому размножению после того, как самка крокодила в зоопарке КостаРики дала потомство, несмотря на отсутствие самца на протяжении 16 лет, сообщает американское издание New York Times со ссылкой на исследование.
",8. Общее
"9. Дефицита рыбы в РФ нет, не было и не будет глава Росрыболовства
",9. Общее
"10. За первый месяц работы на новых маршрутах в ЙошкарОле водители заработали более 50 тысяч рублей
",10. Общее
"11. Россия будет предельно жестко отвечать на любые атаки Киева на Запорожскую АЭС МИД РФ
",11. Политика
"12. Путин и президент ЮАР обсудили африканскую инициативу по урегулированию на Украине, условились, что президент России примет в ближайшее время делегацию ряда глав государств Африки Кремль
",12. Политика
"13. Пассажиры самолета, летевшего из Дели в СанФранциско и совершившего экстренную посадку в Магадане, пожаловались, что не могут воспользоваться кредитными картами, они просто не работают в России Al Jazeera
",13. Общее
"14. Справедливая Россия За правду готовит поправки о праве подразделений территориальной обороны использовать стрелковое оружие Миронов
",14. Политика
"15. Власти НьюЙорка призвали находящихся в зоне риска жителей носить на улице маски в связи с дымом от лесных пожаров, окутавшим город, говорится в заявлении, опубликованном на сайте офиса мэра города Эрика Адамса
",15. Общее
"16. Лето в Москве будет раскачиваться почти весь июнь, купальный сезон будет отложен на вторую половину месяца, а настоящая жара наступит только в июле, сообщил РИА Новости ведущий специалист центра погоды Фобос Евгений Тишковец.
",16. Общее
"17. За прошедший месяц специалисты ЦУР в системе Инцидент Менеджмент получили и обработали 3726 сообщений жителей Марий Эл
",17. Общее
"18. В Николаеве на Украине быстро повышается уровень воды после разрушения Каховской гидроэлектростанции, сообщило украинское издание Страна
",18. Политика
"19. Лукашенко помиловал россиянку Софью Сапегу БЕЛТА
",19. Общее
"20. Помилованную Президентом Беларуси Александром Лукашенко Софью Сапегу передали 7 июня делегации Приморского края, возглавляемой губернатором Олегом Кожемяко
",20. Общее
"1. Губернатор Приморья Кожемяко выкладывает кадры освобождения Софьи Сапеги, помилованной Лукашенко
",1. Политика
"2. Друзья! Тот сбор фонда КомандаА, о важности которого я говорил
",2. Общее
"3. Пока преждевременно говорить о возможном исходе саммита НАТО в Вильнюсе в июле относительно вопроса членства Украины в альянсе, заявил в среду генсек НАТО Йенс Столтенберг, выступая в Центре за новую американскую безопасность.
",3. Политика
"4. Путин поручил главе МЧС организовать помощь людям в зоне затопления Херсонской области и работу ликвидации последствий бедствия Песков
",4. Политика
"5. Российская часть аммиакопровода Тольятти Одесса отсечена от украинской, находится в исправном состоянии и безопасности Трансаммиак
",5. Общее
"6. МВД России подготовило порядок ограничения права управления транспортным средством тем, кто имеет ограничения в едином реестре воинского учета в связи с неявкой по повестке в военкомат
",6. Общее
"7. Главные новости среды 7 июня
",7. Общее
"8. Численность населения РФ с денежными доходами ниже границы бедности в первом квартале 2023 года составила 19,6 миллиона человек, или 13,5, следует из предварительных данных Росстата.
",8. Финансы
"9. Исполком Международного олимпийского комитета рекомендовал сессии организации отозвать признание Международной боксерской ассоциации
",9. Общее
"10. Информация об обнаружении в источниках питьевой воды в России возбудителя холеры, распространяемая в мессенджерах и социальных сетях, не соответствует действительности, об этом ТАСС заявили в прессслужбе Роспотребнадзора
",10. Общее
"11. Лес в заповеднике на Кинбурнской косе в Херсонской области загорелся изза обстрела ВСУ местные власти
",11. Политика
"12. ФБР помогало Киеву цензурировать публикации в Twitter политиков, журналистов и СМИ из России, в т.ч. РИА Новости и RT СМИ со ссылкой на утечку документов
",12. Политика
"13. Казахстан начнет выдавать карту казаха с июля 2023 года. Карта Ата жолы Путь предков предназначена для этнических казахов, проживающих за рубежом. По этой карте они смогут получить ВНЖ Казахстана на 10 лет, при этом не теряя иностранное гражданство. trtnarusskom
",13. Путешествия/релокация
"14. Вицеспикер Гордумы Краснодара Геннадий Уфимцев поедетhttpsbloknotkrasnodar.runewsdlyamenyasvouzheobrelasmyslotechestvennoyvo1611363 добровольцем на СВО на Украине. Уфимцев заявил, что будет думать, как совместить службу с работой депутата, и призвал тысячи краснодарцев поддержать его, процитировав песню Священная война.
",14. Политика
"15. ДНР готова помочь Херсонской области в ликвидации последствий затопления, заявил РИА Новости Пушилин
",15. Политика
"16. Вицепремьер Ульяновской области Сергей Кучиц объявил, что уходит добровольцем в зону СВО. Чиновник утверждает, что хочет применить на фронте свои медицинские знания, поскольку является врачом.
",16. Общее
"17. Вон собака, погнали! Щас я буду за тобой нырять
",17. Развлечения
"18. Сальдо сообщил, что в пунктах временного размещения сейчас находятся 4 тыс жителей Херсонской области из затопленных районов, при необходимости есть резерв ещё на 5,5 тыс
",18. Общее
"19. С декабря 2022 года по май 2023го запчасти на китайские автомобили, применяемые при кузовном ремонте, подорожали в России более чем на 17, НАПИ
",19. Финансы
